---------------------------------
pewter default 34,22 -1,-1 false true false NOTICE!#@Thieves have been#stealing POK^MON#fossils at MT.#MOON! Please call#PEWTER POLICE#with any info!
pewter default 16,12 -1,-1 false true false PEWTER MUSEUM#OF SCIENCE
pewter default 12,20 -1,-1 false true false PEWTER CITY#POK^MON GYM#LEADER: BROCK#@The Rock Solid#POK^MON Trainer!
pewter default 26,26 -1,-1 false true false PEWTER CITY#A Stone Gray#City
pewter default 20,32 -1,-1 false true false TRAINER TIPS#@Any POK^MON that#takes part in#battle, however#short, earns EXP!
pewter pewterPokeCenter 1,5 -1,-1 false true false Yawn!#@When JIGGLYPUFF#sings, POK^MON#get drowsy...#@... Me too...#Snore...
pewter pewter1 1,2 -1,-1 false true false Crammed full of#POK^MON books!
pewter pewter1 2,2 -1,-1 false true false Crammed full of#POK^MON books!
pewter pewter1 8,2 -1,-1 false true false Crammed full of#POK^MON books!
pewter pewter2 1,2 -1,-1 false true false Crammed full of#POK^MON books!
pewter pewter2 2,2 -1,-1 false true false Crammed full of#POK^MON books!
pewter pewter2 8,2 -1,-1 false true false Crammed full of#POK^MON books!
pewter pewterGym 4,11 -1,-1 false true false PEWTER CITY#POK^MON GYM#LEADER: BROCK#@WINNING TRAINERS:#RIVALNAME
pewter pewterGym 7,11 -1,-1 false true false PEWTER CITY#POK^MON GYM#LEADER: BROCK#@WINNING TRAINERS:#RIVALNAME
pewter pewterMuseum 3,4 -1,-1 false true false AERODACTYL Fossil#A primitive and#rare POK^MON.
pewter pewterMuseum 3,7 -1,-1 false true false KABUTOPS Fossil#A primitive and#rare POK^MON.
pewter pewterMuseum 13,2 -1,-1 false true false Crammed full of#POK^MON books!
pewter pewterMuseum 14,2 -1,-1 false true false Crammed full of#POK^MON books!
pewter pewterMuseum 15,2 -1,-1 false true false Crammed full of#POK^MON books!
pewter pewterMuseum 16,2 -1,-1 false true false Crammed full of#POK^MON books!
pewter pewterMuseum 17,2 -1,-1 false true false Crammed full of#POK^MON books!
pewter pewterMuseum 18,2 -1,-1 false true false Crammed full of#POK^MON books!
pewter pewterMuseum 19,2 -1,-1 false true false Crammed full of#POK^MON books!
pewter pewterMuseum 20,2 -1,-1 false true false Crammed full of#POK^MON books!
pewter pewterMuseumTop 3,6 -1,-1 false true false Meteorite that#fell on MT.MOON.#(MOON STONE?)
pewter pewterMuseumTop 12,3 -1,-1 false true false SPACE SHUTTLE#COLUMBIA
